Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,2,358,,552,,754,,1087,,11,,10,,19,,16,,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,6,,45,,14,,80,,,-,2,,,-,1,,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,14,,,-,16,,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,2,,9,,9,,13,,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
RHODE ISLAND,2020,2,,-,8,,,-,2,,,-,1,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,4,,4,,4,,2,,,-,1,,,-,1,,VERMONT,,20200208,POINT (-72.662695 44.075252)
NEW JERSEY,2020,2,4,,26,,20,,46,,,-,3,,1,,1,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,21,,81,,21,,18,,3,,2,,3,,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,25,,29,,65,,50,,,-,3,,,-,,-,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,9,,5,,13,,,-,1,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,71,,132,,175,,232,,7,,5,,12,,4,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
MICHIGAN,2020,2,3,,34,,18,,60,,,-,3,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,55,,67,,118,,109,,7,,3,,12,,4,,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,8,,19,,25,,21,,,-,0,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
IOWA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,11,,,-,13,,,-,1,,,-,1,,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
NEBRASKA,2020,2,8,,9,,16,,10,,,-,1,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,4,,,-,3,,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,2,79,,95,,122,,174,,1,,3,,1,,1,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,6,,,-,4,,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,5,,,-,2,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
GEORGIA,2020,2,3,,33,,6,,59,,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,13,,19,,31,,26,,,-,1,,,-,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,20,,,-,31,,,-,2,,,-,1,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,3,,1,,1,,,-,0,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2020,2,54,,96,,112,,155,,,-,2,,,-,1,,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,2,,25,,7,,43,,,-,1,,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,13,,19,,31,,21,,,-,1,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
TENNESSEE,2020,2,19,,38,,42,,58,,,-,2,,,-,1,,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,20,,143,,23,,57,,,-,4,,,-,,-,,WEST SOUTH CENTRAL,20200243,
LOUISIANA,2020,2,,-,20,,,-,17,,,-,1,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,10,,115,,13,,32,,,-,4,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
ARIZONA,2020,2,29,,35,,61,,66,,,-,1,,1,,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,16,,23,,39,,31,,,-,1,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200251,POINT (-114.659366 44.389073)
NEVADA,2020,2,,-,19,,3,,22,,,-,0,,,-,,-,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,5,,19,,12,,33,,,-,0,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,2,,12,,11,,15,,,-,1,,,-,1,,UTAH,,20200255,POINT (-111.678222 39.323779)
PACIFIC,2020,2,,-,11,,4,,10,,,-,1,,,-,,-,,PACIFIC,20200257,
ALASKA,2020,2,,-,6,,,-,6,,,-,1,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
HAWAII,2020,2,,-,8,,4,,4,,,-,0,,,-,,-,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
AMERICAN SAMOA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
TOTAL,2020,2,358,,552,,754,,1087,,11,,10,,19,,16,,,TOTAL,20200270,
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
TOTAL,2020,1,241,,856,,241,,534,,10,,13,,10,,6,,,TOTAL,20200170,
WEST SOUTH CENTRAL,2020,1,1,,271,,1,,7,,,-,4,,,-,,-,,WEST SOUTH CENTRAL,20200143,
ILLINOIS,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2020,1,,-,6,,,-,1,,,-,2,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
KENTUCKY,2020,1,,-,24,,,-,2,,,-,1,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEW JERSEY,2020,1,7,,26,,7,,26,,,-,3,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
SOUTH ATLANTIC,2020,1,35,,95,,35,,95,,,-,3,,,-,1,,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,2,,19,,2,,19,,,-,0,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GEORGIA,2020,1,,-,45,,,-,33,,,-,0,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2020,1,,-,5,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
ALABAMA,2020,1,1,,25,,1,,18,,,-,1,,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
ARIZONA,2020,1,27,,37,,27,,31,,1,,1,,1,,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
WYOMING,2020,1,,-,4,,,-,1,,,-,0,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
MARYLAND,2020,1,18,,19,,18,,11,,,-,1,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
WEST VIRGINIA,2020,1,,-,17,,,-,12,,,-,0,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
US RESIDENTS,2020,1,241,,856,,241,,534,,10,,13,,10,,6,,,US RESIDENTS,20200101,
NEBRASKA,2020,1,5,,9,,5,,4,,,-,1,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
CALIFORNIA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
CONNECTICUT,2020,1,,-,14,,,-,11,,,-,0,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
PENNSYLVANIA,2020,1,4,,22,,4,,9,,,-,1,,,-,,-,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
KANSAS,2020,1,,-,17,,,-,8,,,-,1,,,-,1,,KANSAS,,20200122,POINT (-98.38018 38.484729)
OHIO,2020,1,60,,67,,60,,67,,9,,3,,9,,3,,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
MASSACHUSETTS,2020,1,,-,23,,,-,23,,,-,1,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEVADA,2020,1,,-,19,,,-,13,,,-,1,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
NEW YORK CITY,2020,1,40,,29,,40,,26,,,-,3,,,-,,-,,NEW YORK CITY,20200112,
ALASKA,2020,1,,-,6,,,-,2,,,-,1,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
VERMONT,2020,1,,-,4,,,-,,-,,-,1,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,1,51,,124,,51,,62,,,-,4,,,-,,-,,MIDDLE ATLANTIC,20200109,
NEW HAMPSHIRE,2020,1,,-,10,,,-,7,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
MINNESOTA,2020,1,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
VIRGINIA,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
WEST NORTH CENTRAL,2020,1,27,,45,,27,,36,,,-,5,,,-,2,,,WEST NORTH CENTRAL,20200120,
RHODE ISLAND,2020,1,,-,8,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
MAINE,2020,1,6,,9,,6,,4,,,-,0,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
TENNESSEE,2020,1,18,,38,,18,,20,,,-,2,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
TEXAS,2020,1,1,,227,,1,,4,,,-,4,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238)
ARKANSAS,2020,1,,-,32,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
IDAHO,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2020,1,22,,96,,22,,59,,,-,2,,,-,,-,,EAST SOUTH CENTRAL,20200138,
UTAH,2020,1,,-,12,,,-,10,,,-,1,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
MOUNTAIN,2020,1,29,,96,,29,,96,,1,,2,,1,,,-,,MOUNTAIN,20200148,
NEW YORK,2020,1,,-,66,,,-,1,,,-,2,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
LOUISIANA,2020,1,,-,20,,,-,3,,,-,1,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
WISCONSIN,2020,1,9,,19,,9,,14,,,-,0,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MONTANA,2020,1,,-,8,,,-,5,,,-,1,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
OREGON,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
INDIANA,2020,1,,-,28,,,-,17,,,-,1,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
NEW ENGLAND,2020,1,6,,48,,6,,45,,,-,2,,,-,,-,,NEW ENGLAND,20200102,
OKLAHOMA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
IOWA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200121,POINT (-93.500061 42.074659)
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
COLORADO,2020,1,,-,23,,,-,17,,,-,1,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552)
EAST NORTH CENTRAL,2020,1,70,,130,,70,,130,,9,,5,,9,,3,,,EAST NORTH CENTRAL,20200114,
MISSISSIPPI,2020,1,3,,19,,3,,19,,,-,0,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
NORTH DAKOTA,2020,1,,-,4,,,-,1,,,-,0,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
MISSOURI,2020,1,22,,26,,22,,22,,,-,4,,,-,1,,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,-,8,,,-,2,,,-,0,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2020,1,,-,20,,,-,19,,,-,2,,,-,1,,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
MICHIGAN,2020,1,1,,34,,1,,32,,,-,3,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
DELAWARE,2020,1,,-,6,,,-,1,,,-,0,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
PACIFIC,2020,1,,-,11,,,-,4,,,-,1,,,-,,-,,PACIFIC,20200157,
AMERICAN SAMOA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200164,
WASHINGTON,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,17,,42,,17,,18,,,-,2,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
NEW HAMPSHIRE,2020,2,,-,10,,1,,9,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
IOWA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200421,POINT (-93.500061 42.074659)
PACIFIC,2020,5,,-,11,,4,,31,,,-,1,,,-,1,,,PACIFIC,20200557,
PACIFIC,2020,7,1,,11,,5,,42,,,-,1,,,-,1,,,PACIFIC,20200757,
PACIFIC,2020,9,,-,11,,6,,62,,,-,1,,,-,1,,,PACIFIC,20200957,
PACIFIC,2020,12,1,,11,,18,,77,,,-,0,,,-,2,,,PACIFIC,20201257,
PACIFIC,2020,13,,-,11,,18,,88,,,-,0,,,-,2,,,PACIFIC,20201357,
MASSACHUSETTS,2020,2,,-,23,,,-,38,,,-,2,,,-,,-,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
MIDDLE ATLANTIC,2020,2,50,,109,,111,,127,,3,,4,,4,,1,,,MIDDLE ATLANTIC,20200209,
INDIANA,2020,2,5,,25,,14,,42,,,-,1,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
WEST NORTH CENTRAL,2020,2,25,,45,,65,,78,,,-,5,,1,,7,,,WEST NORTH CENTRAL,20200220,
MISSOURI,2020,2,16,,26,,47,,48,,,-,4,,1,,5,,MISSOURI,,20200224,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,2,1,,6,,2,,4,,,-,2,,,-,1,,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
FLORIDA,2020,2,62,,42,,81,,35,,1,,2,,1,,,-,FLORIDA,,20200231,POINT (-82.420978 28.260731)
WEST VIRGINIA,2020,2,1,,17,,3,,16,,,-,0,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
MISSISSIPPI,2020,2,20,,19,,32,,33,,,-,0,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
ARKANSAS,2020,2,10,,28,,10,,8,,,-,0,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
MOUNTAIN,2020,2,53,,96,,128,,174,,,-,2,,1,,1,,,MOUNTAIN,20200248,
MONTANA,2020,2,,-,8,,,-,6,,,-,1,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
WYOMING,2020,2,1,,4,,2,,1,,,-,0,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
CALIFORNIA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
NEW YORK,2020,3,21,,87,,42,,48,,4,,2,,7,,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241)
ILLINOIS,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200321,POINT (-93.500061 42.074659)
RHODE ISLAND,2020,3,,-,8,,1,,4,,,-,1,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
KANSAS,2020,3,,-,11,,,-,18,,,-,1,,,-,1,,KANSAS,,20200322,POINT (-98.38018 38.484729)
NEW JERSEY,2020,3,7,,22,,31,,65,,2,,3,,3,,4,,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
EAST NORTH CENTRAL,2020,3,41,,124,,249,,298,,3,,5,,13,,8,,,EAST NORTH CENTRAL,20200314,
OHIO,2020,3,30,,63,,150,,142,,3,,5,,13,,7,,OHIO,,20200318,POINT (-82.70936 40.415534)
PENNSYLVANIA,2020,3,,-,9,,5,,21,,,-,1,,,-,,-,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
VERMONT,2020,3,1,,4,,5,,3,,,-,1,,,-,1,,VERMONT,,20200308,POINT (-72.662695 44.075252)
WISCONSIN,2020,3,9,,22,,44,,27,,,-,0,,,-,,-,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
MICHIGAN,2020,3,,-,34,,33,,74,,,-,3,,,-,1,,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
NEW YORK CITY,2020,3,22,,43,,90,,67,,,-,3,,,-,,-,,NEW YORK CITY,20200312,
MIDDLE ATLANTIC,2020,3,50,,116,,168,,201,,6,,4,,10,,4,,,MIDDLE ATLANTIC,20200309,
WEST NORTH CENTRAL,2020,3,4,,45,,73,,110,,,-,5,,1,,7,,,WEST NORTH CENTRAL,20200320,
TOTAL,2020,5,232,,626,,1951,,2409,,4,,14,,41,,43,,,TOTAL,20200570,
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
INDIANA,2020,5,1,,25,,36,,84,,,-,1,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
US RESIDENTS,2020,6,227,,678,,2374,,2918,,3,,14,,44,,47,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,1,,10,,12,,16,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW ENGLAND,2020,6,4,,40,,100,,208,,,-,1,,1,,3,,,NEW ENGLAND,20200602,
TOTAL,2020,9,207,,715,,3786,,4364,,7,,13,,63,,70,,,TOTAL,20200970,
US RESIDENTS,2020,9,207,,715,,3786,,4364,,7,,13,,63,,70,,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,9,,-,8,,22,,30,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
US RESIDENTS,2020,10,235,,734,,4253,,4878,,4,,13,,65,,78,,,US RESIDENTS,20201001,
NEW HAMPSHIRE,2020,10,,-,8,,26,,32,,,-,0,,,-,,-,NEW HAMPSHIRE,,20201006,POINT (-71.57139 43.680429)
NEW YORK,2020,10,16,,94,,161,,183,,,-,3,,7,,1,,NEW YORK,,20201011,POINT (-75.59655 42.921241)
NEBRASKA,2020,10,,-,9,,47,,48,,,-,0,,,-,1,,NEBRASKA,,20201025,POINT (-99.810595 41.527099)
US RESIDENTS,2020,5,232,,626,,1951,,2409,,4,,14,,41,,43,,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,10,,7,,12,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,21,,89,,80,,78,,1,,4,,8,,,-,NEW YORK,,20200511,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,5,38,,244,,185,,260,,,-,4,,1,,,-,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,6,,9,,31,,23,,,-,1,,,-,1,,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,30,,75,,265,,268,,,-,2,,,-,1,,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,6,,4,,17,,11,,,-,0,,,-,,-,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,17,,18,,57,,,-,0,,,-,,-,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,24,,196,,104,,162,,,-,4,,1,,,-,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,6,,,-,19,,,-,1,,,-,1,,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,5,,,-,6,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,5,6,,40,,87,,172,,,-,1,,1,,3,,,NEW ENGLAND,20200502,
RHODE ISLAND,2020,5,,-,8,,1,,8,,,-,1,,,-,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,6,,7,,8,,,-,0,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,19,,28,,74,,,-,1,,,-,,-,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,11,,,-,32,,,-,1,,,-,1,,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,8,,22,,49,,92,,1,,3,,8,,9,,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,1,,14,,40,,57,,,-,0,,,-,,-,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,36,,135,,380,,456,,2,,5,,17,,10,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,20,,29,,103,,97,,,-,2,,,-,1,,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,14,,2,,33,,,-,0,,,-,,-,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,7,,20,,71,,65,,,-,1,,,-,,-,MARYLAND,,20200533,POINT (-76.687282 38.946466)
TOTAL,2020,3,232,,554,,1177,,1578,,13,,10,,30,,23,,,TOTAL,20200370,
US RESIDENTS,2020,3,232,,554,,1177,,1578,,13,,10,,30,,23,,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,10,,1,,12,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
